COBACIA,ire_cs_hum
77712762,"0,00"
77712743,"0,00"
7771277,"0,00"
77712971,"0,00"
77712741,"0,00"
7771275,"0,00"
7771298,"0,00"
77712973,"0,00"
77712962,"0,00"
7771234,"3,80"
7771233,"3,80"
7771232,"3,80"
7771235,"0,00"
77712415,"0,00"
7771242,"0,00"
7771271,"0,00"
7771237,"0,00"
77712521,"0,00"
777125241,"0,00"
77712411,"0,00"
777125291,"0,00"
7771214,"0,00"
77712525,"0,00"
7771253,"0,00"
7771263,"0,00"
7771221,"0,00"
7771245,"0,00"
7771273,"0,00"
7771236,"0,00"
7771244,"5,00"
777125223,"0,00"
7771261,"0,00"
77712527,"0,00"
77712413,"0,00"
77712414,"0,00"
7771231,"0,00"
77712523,"0,00"
77712412,"0,00"
777125221,"0,00"
777125222,"0,00"
7771215,"0,00"
7771251,"0,00"
7771243,"0,00"
77712721,"5,00"
777125243,"0,00"
77712252,"0,00"
777125242,"0,00"
7771382,"2,40"
7771341,"3,80"
777141,"3,10"
7771387,"0,00"
7771383,"0,00"
7771384,"0,00"
7771385,"0,00"
7771542,"4,10"
7771528,"0,00"
7771524,"0,00"
77715253,"0,00"
77715221,"0,00"
77715222,"0,00"
7771527,"0,00"
7771529,"0,00"
77715251,"0,00"
7771526,"0,00"
7771543,"4,10"
7771425,"3,80"
7771423,"0,00"
77715252,"0,00"
7771426,"0,00"
7771424,"0,00"
7771523,"0,00"
77715223,"3,80"
7771642,"0,00"
7771521,"0,00"
7771643,"0,00"
7771363,"3,80"
7771362,"3,80"
77713861,"0,00"
7771342,"3,80"
7771361,"3,80"
7771381,"3,80"
7771325,"0,00"
7771322,"0,00"
77713863,"0,00"
7771541,"4,10"
77713862,"0,00"
7776253,"4,70"
7776271,"4,70"
7776273,"0,00"
7776261,"4,70"
7776272,"0,00"
7776365,"5,00"
777628,"4,10"
777629,"4,10"
7776352,"5,00"
7776353,"5,00"
7776251,"4,89"
7776362,"5,00"
7776351,"5,00"
7776252,"4,70"
7778365,"4,40"
7778364,"0,00"
7761811,"5,00"
776192,"5,00"
776193,"5,00"
776191,"5,00"
776194,"0,00"
776195,"5,00"
77617993,"5,00"
77617671,"0,00"
77617673,"0,00"
77618153,"0,00"
77617694,"0,00"
77617695,"0,00"
77617693,"0,00"
77617948,"0,00"
77618152,"0,00"
77617691,"0,00"
77618314,"0,00"
77617945,"0,00"
7761816,"0,00"
77618322,"3,00"
7761768,"0,00"
77617944,"0,00"
77617949,"0,00"
7761764,"0,00"
77617943,"0,00"
77617692,"0,00"
77618329,"0,00"
77617947,"0,00"
7761819,"0,00"
7761966,"0,00"
7761814,"0,00"
7761964,"0,00"
77617946,"0,00"
7761813,"0,00"
7761822,"0,00"
77618211,"0,00"
77618151,"0,00"
7761817,"0,00"
77618311,"0,00"
7761818,"0,00"
7761968,"0,00"
7761795,"0,00"
7761763,"0,00"
77617912,"5,00"
77617911,"5,00"
77617615,"0,00"
77617672,"0,00"
