cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
2911709,Guanambi,BA,1.158,0,0,0,1.158,0,0,0,2895,2895,-,-,-,"R$ 41.405,00","R$ 41.405,00",-,-,-,4007,4007,0,0,0,"10,33316696","10,33316696","R$ 0,00","R$ 0,00","R$ 0,00","R$ 29.914,52","R$ 29.914,52",
2911808,Guaratinga,BA,441,0,413,0,29,0,413,0,"72,5","485,5",-,"R$ 52.776,00","R$ 1.038,00","R$ 69.462,00","R$ 123.276,00",-,1611,150,4909,6670,0,"32,75977654","6,92","14,1499287","18,48215892","R$ 0,00","R$ 13.529,79","R$ 0,00","R$ 1.025,87","R$ 14.555,66",
2911857,Heliópolis,BA,59,0,0,0,59,0,0,0,"147,5","147,5",-,-,-,"R$ 15.959,00","R$ 15.959,00",-,-,-,7089,7089,0,0,0,"2,251234307","2,251234307","R$ 0,00","R$ 0,00","R$ 0,00","R$ 332,06","R$ 332,06",
2911907,Iaçu,BA,1.139,0,0,0,1140,0,0,0,2850,2850,-,-,-,"R$ 5.224,00","R$ 5.224,00",-,-,-,694,694,0,0,0,"7,527377522","7,527377522","R$ 0,00","R$ 0,00","R$ 0,00","R$ 21.453,03","R$ 21.453,03",
2912004,Ibiassucê,BA,91,0,0,0,91,0,0,0,"227,5","227,5",-,-,"R$ 135,00","R$ 2.975,00","R$ 3.110,00",-,-,35,1549,1584,0,0,"3,857142857","1,920593932","1,963383838","R$ 0,00","R$ 0,00","R$ 0,00","R$ 436,94","R$ 436,94",
2912103,Ibicaraí,BA,0,0,0,0,0,0,0,0,0,0,-,"R$ 368,00",-,"R$ 23.116,00","R$ 23.484,00",-,15,-,2794,2809,0,"24,53333333",0,"8,273443092","8,360270559","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2912202,Ibicoara,BA,2.970,0,674,0,2.296,0,674,0,5740,6414,-,"R$ 134.850,00","R$ 1.013,00","R$ 1.001.700,00","R$ 1.137.563,00",-,6200,200,12459,18859,0,"21,75","5,065","80,39971105","60,31937006","R$ 0,00","R$ 14.659,50","R$ 0,00","R$ 461.494,34","R$ 476.153,84",
2912301,Ibicuí,BA,150,0,0,0,150,0,0,0,375,375,-,"R$ 272,00","R$ 30,00","R$ 13.453,00","R$ 13.755,00",-,20,11,998,1029,0,"13,6","2,727272727","13,47995992","13,36734694","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.054,98","R$ 5.054,98",
2912400,Ibipeba,BA,4.554,0,0,0,4.554,0,0,0,11385,11385,-,-,-,"R$ 82.727,00","R$ 82.727,00",-,-,-,5350,5350,0,0,0,"15,46299065","15,46299065","R$ 0,00","R$ 0,00","R$ 0,00","R$ 176.046,15","R$ 176.046,15",
2912509,Ibipitanga,BA,188,0,0,0,188,0,0,0,470,470,-,-,"R$ 42,00","R$ 409,00","R$ 451,00",-,-,11,349,360,0,0,"3,818181818","1,171919771","1,252777778","R$ 0,00","R$ 0,00","R$ 0,00","R$ 550,80","R$ 550,80",
