fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,,,,dmu_nu_popurbana,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_cs_ish,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Inverso do balaço Hídrico (adm),Fator iminente,Fator pós deificit,Fator de Risco ,VAB - Municipio ,VAB (mil R$) Risco inerente, Valor de população (nº habitantes) em risco pós-déficit., Valor de população (nº habitantes) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à sua população urbana (depende da projeção da população urbana de 2035),Área total do setor censitário (km²) ,Área total da ottobacia (km²) ,Área do setor censitário interno à ottobacia (km²),Demanda industrial por BHO (m³/s) (tabela balanços  2020),Densidade da demanda industrial na BHO (m³/s . km²) (tabela balanços 2020),Demanda industrial estimada da porção do setor cencitário interno à ottobacia (m³/s) ,Demanda industrial estimada para a ottobacia (m³/s) ,Percentual da demanda industrial na porção do setor cencitário que está na ottobacia em relação à demanda industrial total da ottobacia,Classe (1-5) do Índice de Segurança Hídrica associado à população urbana da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua população urbana.,
1,7761879,320010205000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,03969077389","5,412990806","0,04","0,000417","0,00007703689419","0,000003081475768","0,0004168466345","0,007389630139","0,022","2,999",Médio
2,7761879,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,1875137391","5,412990806","0,115","0,000417","0,00007703689419","0,000008859242832","0,0004168466345","0,02124518665","0,064","2,999",Médio
3,7761881,320010205000002,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,719","0,000","0,139","19,321","5,175812055","0,012","0,000","0,012",48.980,609,0,609,"3,00","0,1875137391","5,879590608","0,072",0,0,0,0,0,"0,000","0,000",#N/A
4,7761879,320010205000003,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,07626691853","5,412990806","0,076","0,000417","0,00007703689419","0,000005854803959","0,0004168466345","0,01404029726","0,042","2,999",Médio
5,7761879,320010205000004,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,1204140602","5,412990806","0,12","0,000417","0,00007703689419","0,000009244427303","0,0004168466345","0,02216889042","0,067","2,999",Médio
6,7761877,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,959","0,001","0,336","17,160","5,827537251","0,010","0,000","0,010",48.980,481,0,481,"3,00","0,1508555578","1,827402027","0,073","0,000044","0,00002407789821","0,00000175768657","0,00004399032003","0,03994742203","0,120","2,999",Médio
7,7761879,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,1508555578","5,412990806","0,043","0,000417","0,00007703689419","0,00000331258645","0,0004168466345","0,007943852399","0,024","2,999",Médio
8,77618781,320010205000007,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,981,0,981,"3,00","0,1508555578","12,35846499","0,035","0,0000847","0,00000685360197","0,0000002398760689","0,00008469681314","0,00283206693","0,008","3,000",Médio
9,7761879,320010205000008,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,08160737994","5,412990806","0,082","0,000417","0,00007703689419","0,000006317025324","0,0004168466345","0,01514874178","0,045","2,999",Médio
10,7761879,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,3629238066","5,412990806","0,132","0,000417","0,00007703689419","0,00001016887003","0,0004168466345","0,02438577946","0,073","2,999",Médio
11,77618781,320010205000010,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,981,0,981,"3,00","0,3629238066","12,35846499","0,23","0,0000847","0,00000685360197","0,000001576328453","0,00008469681314","0,01861072554","0,056","3,000",Médio
12,7761879,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","0,3247574084","5,412990806","0,22","0,000417","0,00007703689419","0,00001694811672","0,0004168466345","0,04064296576","0,122","2,999",Médio
13,77618781,320010205000012,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,981,0,981,"3,00","0,3247574084","12,35846499","0,104","0,0000847","0,00000685360197","0,0000007127746049","0,00008469681314","0,008415284591","0,025","3,000",Médio
14,7761882,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,043","0,002","0,002","3,613","27,67658853","0,000","0,000","0,000",48.980,21,0,21,"4,00","26,09649438","10,30969875","10,156",0,0,0,0,0,"0,000","0,000",#N/A
15,776188421,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,080","0,000","0,001","1,765","56,67048002","0,000","0,000","0,000",48.980,5,0,5,"5,00","26,09649438","1,759884034","0,059",0,0,0,0,0,"0,000","0,000",#N/A
16,77618783,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,070","0,018","0,018","26,064","3,83672953","0,023","0,000","0,023",48.980,1.109,0,1.109,"3,00","26,09649438","16,87727887","8,382",0,0,0,0,0,"0,000","0,000",#N/A
17,7761879,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,449,0,449,"3,00","26,09649438","5,412990806","0,002","0,000417","0,00007703689419","0,0000001540737884","0,0004168466345","0,0003694815069","0,001","2,999",Médio
18,7761883,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,652","0,001","0,137","21,039","4,753030134","0,015","0,000","0,015",48.980,723,0,723,"3,00","26,09649438","3,014079775","0,002",0,0,0,0,0,"0,000","0,000",#N/A
19,7761881,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,719","0,000","0,139","19,321","5,175812055","0,012","0,000","0,012",48.980,609,0,609,"3,00","26,09649438","5,879590608","3,79",0,0,0,0,0,"0,000","0,000",#N/A
20,77618781,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,981,0,981,"3,00","26,09649438","12,35846499","3,463","0,0000847","0,00000685360197","0,00002373402362","0,00008469681314","0,2802127936","0,841","3,000",Médio
21,77617296,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,021","0,001","0,001","3,852","25,96260001","0,000","0,000","0,000",48.980,24,0,24,"4,00","26,09649438","19,73185058","0,001",0,0,0,0,0,"0,000","0,000",#N/A
22,776188423,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,050","0,001","0,001","1,619","61,74842272","0,000","0,000","0,000",48.980,4,0,4,"5,00","26,09649438","11,99757524","0,182",0,0,0,0,0,"0,000","0,000",#N/A
23,77618841,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,224","0,002","0,032","14,187","7,048773326","0,007","0,000","0,007",48.980,329,0,329,"3,00","26,09649438","7,111517693","0,06",0,0,0,0,0,"0,000","0,000",#N/A
24,7761876,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","4,940042626","0,014","0,000","0,014",48.980,669,0,669,"3,00","43,25395984","17,03928558","15,079","0,00000209","0,0000001226577247","0,000001849555831","0,000002089964971","0,884954943","2,655","3,000",Médio
