Unnamed: 0,id,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_poptotal,dmu_nu_popurbana,dmu_nu_poprural,ihu_pc_cobrede,classe_ish_mun,area_setor,area_otto,area_scbc,pop,pop_urb_scbc,pop_urb_bacia,ihu_rel,classe_ish_otto,disp_por_dem,fator_iminente,fator_pos_deficit,fator_de_risco_total,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total
37,38,77618723,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,048","0,003","0,003","5,412",172981,18362,,"0,812",Alto,"28,93147498","11,54897345","11,412",513,0,0,0,,18.477457501847745,0.0009763248,0.0,0.0009763248,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
38,39,77618717,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,545","0,006","0,389","15,297",172981,18362,,"0,812",Alto,"28,93147498","8,001401319","0,011",513,0,0,0,,6.537229522128522,0.0077999403000000005,0.0,0.0077999403000000005,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
39,40,77618721,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,117","0,002","0,005","4,145",172981,18362,,"0,812",Alto,"28,93147498","7,645517396","7,273",513,0,0,0,,24.12545235223161,0.0005727008333333331,0.0,0.0005727008333333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
40,41,77618722,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038",0,0,"0,796",172981,18362,,"0,812",Alto,"28,93147498","9,117857331","8,83",513,0,0,0,,125.62814070351759,2.112053333333333e-05,0.0,2.112053333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
41,42,7761875,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171",172981,18362,,"0,812",Alto,"28,93147498","7,532201575","0,115",513,0,"2,768224128",0,Alto,5.823772639916138,0.009828108033333331,0.0,0.009828108033333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
42,43,77618712,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,031",0,0,"0,859",172981,18362,,"0,812",Alto,"28,93147498","7,364809749","0,181",513,0,0,0,,116.41443538998836,2.4596033333333333e-05,0.0,2.4596033333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
43,44,77618781,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511",172981,18362,,"0,812",Alto,"28,93147498","12,35846499","0,063",513,0,"2617,085215",0,Alto,4.079800905715802,0.020026304033333327,0.0,0.020026304033333327,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
44,45,77618782,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,026","0,01","0,01","39,673",172981,18362,,"0,812",Alto,"28,93147498","6,176753509","0,131",513,0,0,0,,2.5206059536712626,0.05246489763333333,0.0,0.05246489763333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
45,46,7761873,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,395","0,002","0,378","15,803",172981,18362,,"0,812",Alto,"28,93147498","1,554857374","0,008",513,0,0,0,,6.3279124216920835,0.008324493633333332,0.0,0.008324493633333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
46,47,7761876,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243",172981,18362,,"0,812",Alto,"30,21045933","17,03928558","0,291",230,0,0,0,,4.9399792520871415,0.01365930163333333,0.0,0.01365930163333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
47,48,77618747,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892",172981,18362,,"0,812",Alto,"30,21045933","15,41486453","14,547",230,0,0,0,,112.10762331838565,2.6522133333333335e-05,0.0,2.6522133333333335e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
48,49,77618745,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118",0,"0,001","0,987",172981,18362,,"0,812",Alto,"30,21045933","5,903254563","5,468",230,0,0,0,,101.31712259371834,3.24723e-05,0.0,3.24723e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
49,50,7761892,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633",172981,18362,,"0,812",Alto,"30,21045933","19,94445926","0,042",230,0,0,0,,15.076134479119554,0.0014665562999999998,0.0,0.0014665562999999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
50,51,77618741,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018",172981,18362,,"0,812",Alto,"30,21045933","8,876456731","0,305",230,0,0,0,,14.249073810202336,0.0016417441333333332,0.0,0.0016417441333333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
51,52,77618743,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245",172981,18362,,"0,812",Alto,"30,21045933","3,878138721","1,891",230,0,0,0,,80.32128514056224,5.166750000000001e-05,0.0,5.166750000000001e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
52,53,77618744,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,042",0,0,"0,767",172981,18362,,"0,812",Alto,"30,21045933","10,0836146","0,127",230,0,0,0,,130.3780964797914,1.9609633333333333e-05,0.0,1.9609633333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
53,54,77618694,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,072","0,045","0,045","62,88",172981,18362,,"0,812",Alto,"30,21045933","17,35419788",0,230,0,"82,02279529",0,Alto,1.5903307888040712,0.13179648,0.0,0.13179648,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
54,55,776187423,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,046","0,001","0,001","2,052",172981,18362,,"0,812",Alto,"30,21045933","11,1861034","0,399",230,0,0,0,,48.732943469785575,0.00014035679999999998,0.0,0.00014035679999999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
